session;task;date;position;dorsal;player;time;active_time;effective_time;rpe;sleep;sleeping_hours;fatigue;pain;mood;stress;total_distance;minute_distance;distance_vrange1;distance_vrange2;distance_vrange3;distance_vrange4;distance_vrange5;distance_vrange6;hmld;hmld_count;hmld_time;hmld_relative;hsr;hsr_time;num_hsr;sprints;num_acc;num_acc_expl;num_dec;num_dec_expl;num_hids;hid_intervals;average_speed;max_speed;max_acc;max_dec;time_vrange1;time_vrange2;time_vrange3;time_vrange4;time_vrange5;time_vrange6;zone1_time;zone2_time;zone3_time;zone4_time;zone1_hsr_time;zone2_hsr_time;zone3_hsr_time;zone4_hsr_time;zone1_hsr_distance;zone2_hsr_distance;zone3_hsr_distance;zone4_hsr_distance;player_load
Partit amistos;Periodo 1;8/24/2025;defender/LTI;1;Cespedes;47,800;42,718;0,000;;;;;;;;5.176,747;108,300;1.730,192;1.478,655;745,882;656,240;415,583;123,228;1.365,688;244,000;5,815;28,571;536,559;1,270;35,000;9,000;75,000;38,000;58,000;38,000;35,000;1,261;0,000;31,440;4,850;-5,424;26,347;9,303;3,337;2,325;1,137;0,270;6,695;24,482;8,523;3,783;0,080;0,805;0,287;0,082;25,348;344,591;117,671;39,051;0,000
Partit amistos;Periodo 1;8/24/2025;forward;1;Paredes;47,800;43,495;0,000;;;;;;;;5.295,086;110,776;1.960,803;1.360,222;722,591;754,583;395,959;100,913;1.488,109;297,000;6,463;31,132;490,198;1,150;34,000;9,000;100,000;32,000;96,000;35,000;34,000;1,328;0,000;28,175;4,533;-6,286;27,550;8,718;3,242;2,665;1,092;0,228;2,890;9,982;22,147;11,737;0,042;0,230;0,662;0,217;9,508;96,161;284,881;99,648;0,000
Partit amistos;Periodo 1;8/24/2025;forward;1;Canito;47,800;40,912;0,000;;;;;;;;4.806,857;100,562;1.943,420;1.051,941;594,307;688,317;328,663;158,347;1.350,258;249,000;5,672;28,248;475,745;1,058;28,000;10,000;61,000;56,000;62,000;42,000;28,000;1,625;0,000;30,492;5,539;-6,824;28,037;6,587;2,648;2,397;0,898;0,345;2,273;12,660;23,047;8,328;0,058;0,000;0,877;0,088;26,924;0,000;392,751;42,471;0,000
Partit amistos;Periodo 1;8/24/2025;midfield;18;Caravaca;47,800;41,732;0,000;;;;;;;;5.538,161;115,861;1.601,478;1.575,310;920,187;945,119;333,040;87,879;1.366,242;290,000;6,062;28,583;414,756;0,973;27,000;9,000;106,000;30,000;86,000;41,000;27,000;1,659;0,000;28,199;4,249;-5,392;23,333;9,902;4,058;3,340;0,902;0,197;7,038;19,100;16,010;1,447;0,085;0,585;0,300;0,003;36,392;247,738;128,313;2,313;0,000
Partit amistos;Periodo 1;8/24/2025;defender/LTI;27;Joan Puig;47,800;44,373;0,000;;;;;;;;5.789,297;121,115;1.932,642;1.479,162;904,719;865,237;376,813;100,692;1.462,080;296,000;6,370;30,587;469,589;1,050;28,000;6,000;99,000;37,000;89,000;43,000;28,000;1,660;0,000;31,018;4,556;-4,794;26,903;9,295;3,950;2,995;1,015;0,215;12,653;24,963;4,857;1,255;0,252;0,593;0,205;0,000;111,281;274,512;83,796;0,000;0,000
Partit amistos;Periodo 1;8/24/2025;forward;28;Khalid;47,800;43,253;0,000;;;;;;;;5.491,900;114,893;1.627,650;1.643,145;929,096;750,693;385,598;137,236;1.555,528;304,000;6,657;32,542;519,519;1,198;36,000;8,000;105,000;39,000;71,000;53,000;36,000;1,181;0,000;28,969;5,084;-6,480;24,655;10,407;4,163;2,672;1,053;0,303;3,363;11,525;21,345;10,338;0,028;0,123;0,907;0,140;13,908;52,114;392,674;60,823;0,000
Partit amistos;Periodo 1;8/24/2025;forward;30;Ibuki;47,800;42,502;0,000;;;;;;;;4.841,215;101,281;1.944,434;1.240,648;621,325;583,252;354,802;70,632;1.270,895;289,000;5,767;26,588;421,507;0,982;32,000;5,000;79,000;39,000;83,000;56,000;32,000;1,350;0,000;29,048;4,552;-5,847;28,577;7,967;2,763;2,050;0,987;0,158;3,448;14,498;22,237;4,877;0,087;0,338;0,535;0,012;35,159;143,646;231,256;6,315;0,000
Partit amistos;Periodo 1;8/24/2025;;;;47,800;42,712;0,000;;;;;;;;5.277,037;110,398;1.820,088;1.404,155;776,873;749,063;370,066;111,275;1.408,400;281,286;6,115;29,464;475,410;1,097;31,429;8,000;89,286;38,714;77,857;44,000;31,429;1,438;0,000;29,620;4,766;-5,864;26,486;8,883;3,452;2,635;1,012;0,245;5,480;16,744;16,881;5,966;0,090;0,382;0,539;0,077;36,932;165,537;233,049;35,803;0,000
Partit amistos;Periodo 2;8/24/2025;defender/LTI;1;Cespedes;47,854;41,467;0,000;;;;;;;;4.609,464;96,324;1.784,248;1.346,472;608,057;462,472;215,146;121,477;1.043,478;226,000;4,837;21,806;333,746;0,720;19,000;8,000;64,000;46,000;66,000;31,000;19,000;2,438;0,000;29,824;5,510;-5,367;27,780;8,532;2,700;1,615;0,577;0,263;5,042;10,687;20,453;8,823;0,010;0,240;0,470;0,000;6,055;110,392;217,300;0,000;0,000
Partit amistos;Periodo 2;8/24/2025;forward;1;Paredes;47,854;42,758;0,000;;;;;;;;4.859,617;101,552;1.962,602;1.310,568;556,881;540,550;335,918;101,597;1.191,274;231,000;5,232;24,894;437,515;1,050;25,000;6,000;72,000;31,000;73,000;30,000;25,000;1,861;0,000;30,156;4,916;-5,463;28,937;8,302;2,485;1,892;0,920;0,223;13,627;19,585;8,167;4,928;0,215;0,617;0,218;0,000;102,756;264,645;70,114;0,000;0,000
