session;task;date;position;dorsal;player;time;active_time;effective_time;rpe;sleep;sleeping_hours;fatigue;pain;mood;stress;total_distance;minute_distance;distance_vrange1;distance_vrange2;distance_vrange3;distance_vrange4;distance_vrange5;distance_vrange6;hmld;hmld_count;hmld_time;hmld_relative;hsr;hsr_time;num_hsr;sprints;num_acc;num_acc_expl;num_dec;num_dec_expl;num_hids;hid_intervals;average_speed;max_speed;max_acc;max_dec;time_vrange1;time_vrange2;time_vrange3;time_vrange4;time_vrange5;time_vrange6;zone1_time;zone2_time;zone3_time;zone4_time;zone1_hsr_time;zone2_hsr_time;zone3_hsr_time;zone4_hsr_time;zone1_hsr_distance;zone2_hsr_distance;zone3_hsr_distance;zone4_hsr_distance;player_load
J1;Periodo 1;8/30/2025;forward;1;Andrews;52,273;45,828;0,000;;;;;;;;4.967,494;95,029;2.049,926;1.227,515;691,445;548,412;334,724;91,126;1.278,537;243,000;5,603;24,459;425,851;0,978;28,000;8,000;83,000;29,000;69,000;34,000;28,000;1,707;0,000;28,774;4,848;-5,045;31,880;7,790;3,100;1,938;0,917;0,203;7,833;23,368;17,052;2,798;0,067;0,260;0,500;0,152;32,826;122,104;205,386;65,534;0,000
J1;Periodo 1;8/30/2025;midfield;1;Adnane;52,273;45,893;0,000;;;;;;;;5.706,588;109,168;2.035,851;1.497,220;973,528;843,556;320,113;11,601;1.049,586;226,000;4,578;20,079;323,333;0,738;27,000;1,000;68,000;25,000;62,000;44,000;27,000;1,821;0,000;26,670;4,241;-6,495;28,202;9,405;4,360;3,013;0,887;0,027;2,787;19,328;23,087;5,288;0,072;0,418;0,208;0,040;36,231;176,454;92,339;18,310;0,000
J1;Periodo 1;8/30/2025;midfield;1;Izan;52,273;45,367;0,000;;;;;;;;5.581,984;106,785;1.843,606;1.691,715;943,535;677,902;239,529;43,205;1.107,217;236,000;5,157;21,181;280,346;0,640;23,000;4,000;90,000;19,000;70,000;34,000;23,000;2,184;0,000;27,264;4,323;-7,933;27,690;10,427;4,123;2,380;0,652;0,095;0,132;10,583;29,253;10,358;0,000;0,207;0,383;0,050;0,000;92,221;160,266;27,859;0,000
J1;Periodo 1;8/30/2025;defender;1;Sgro;52,273;43,532;0,000;;;;;;;;4.689,528;89,712;2.040,104;1.200,395;605,742;534,378;190,473;91,980;898,879;192,000;4,175;17,196;277,478;0,620;19,000;7,000;67,000;18,000;66,000;22,000;19,000;2,724;0,000;32,539;4,603;-7,270;30,613;7,610;2,712;1,873;0,525;0,198;0,738;2,733;26,352;20,610;0,000;0,133;0,263;0,223;0,000;53,531;116,175;107,771;0,000
J1;Periodo 1;8/30/2025;defender;1;Guillem;52,273;45,952;0,000;;;;;;;;5.463,791;104,524;1.875,307;1.543,616;781,731;765,254;400,253;51,826;1.303,641;272,000;5,998;24,939;442,509;1,095;31,000;6,000;98,000;19,000;82,000;42,000;31,000;1,604;0,000;26,800;4,169;-6,338;28,692;9,893;3,463;2,680;1,105;0,118;1,393;11,170;22,687;11,812;0,000;0,232;0,718;0,113;0,000;88,782;294,264;45,147;0,000
J1;Periodo 1;8/30/2025;defender;1;Escoruela;52,273;45,028;0,000;;;;;;;;5.075,934;97,104;2.030,518;1.362,525;761,213;495,960;309,471;82,783;1.139,401;237,000;5,067;21,797;388,328;0,887;32,000;7,000;73,000;28,000;65,000;39,000;32,000;1,602;0,000;29,629;5,258;-6,686;30,170;8,667;3,417;1,735;0,858;0,182;2,047;9,898;20,717;9,428;0,028;0,308;0,392;0,158;13,290;133,671;168,295;73,072;0,000
J1;Periodo 1;8/30/2025;forward;1;Canito;52,273;43,945;0,000;;;;;;;;5.093,903;97,447;1.981,502;1.291,363;675,531;678,231;355,179;90,609;1.342,810;275,000;5,838;25,688;443,533;0,977;35,000;9,000;88,000;39,000;77,000;36,000;35,000;1,455;0,000;28,747;5,257;-8,584;29,215;8,123;3,027;2,395;0,982;0,203;7,253;24,560;15,173;2,750;0,097;0,680;0,172;0,028;47,687;307,552;76,587;11,707;0,000
J1;Periodo 1;8/30/2025;defender;4;Cano;52,273;45,752;0,000;;;;;;;;5.371,619;102,760;2.075,467;1.587,028;859,722;646,736;148,932;21,346;884,671;239,000;4,737;16,924;170,278;0,390;13,000;1,000;86,000;22,000;78,000;40,000;13,000;3,993;0,000;28,498;4,526;-6,434;29,243;9,887;3,852;2,307;0,417;0,047;2,023;5,355;25,190;18,075;0,000;0,037;0,233;0,120;0,000;20,700;93,476;56,102;0,000
J1;Periodo 1;8/30/2025;midfield;25;Meshak;52,273;46,097;0,000;;;;;;;;5.749,328;109,986;1.819,869;1.463,832;929,529;1.120,083;400,868;13,627;1.367,824;273,000;6,117;26,167;405,709;1,058;27,000;1,000;103,000;23,000;79,000;41,000;27,000;1,877;0,000;26,752;4,548;-7,179;27,528;9,268;4,165;3,970;1,133;0,032;0,008;11,267;29,217;11,612;0,000;0,290;0,588;0,180;0,000;109,899;227,384;68,425;0,000
J1;Periodo 1;8/30/2025;midfield;29;Vacas;52,273;45,495;0,000;;;;;;;;5.310,267;101,587;1.946,240;1.582,218;814,362;607,432;288,732;39,840;1.204,419;276,000;6,148;23,041;325,740;0,800;21,000;3,000;104,000;23,000;97,000;31,000;21,000;2,472;0,000;27,514;4,797;-7,588;28,738;10,063;3,638;2,165;0,800;0,090;5,805;22,798;17,373;5,692;0,000;0,392;0,362;0,047;0,000;161,427;147,969;16,345;0,000
