session;task;date;position;dorsal;player;time;active_time;effective_time;rpe;sleep;sleeping_hours;fatigue;pain;mood;stress;total_distance;minute_distance;distance_vrange1;distance_vrange2;distance_vrange3;distance_vrange4;distance_vrange5;distance_vrange6;hmld;hmld_count;hmld_time;hmld_relative;hsr;hsr_time;num_hsr;sprints;num_acc;num_acc_expl;num_dec;num_dec_expl;num_hids;hid_intervals;average_speed;max_speed;max_acc;max_dec;time_vrange1;time_vrange2;time_vrange3;time_vrange4;time_vrange5;time_vrange6;zone1_time;zone2_time;zone3_time;zone4_time;zone1_hsr_time;zone2_hsr_time;zone3_hsr_time;zone4_hsr_time;zone1_hsr_distance;zone2_hsr_distance;zone3_hsr_distance;zone4_hsr_distance;player_load
COPA DEL REI;1A PART;10/29/2025;defender/LTI;1;Cespedes;47,088;43,132;0,000;;;;;;;;4.939,643;104,902;1.800,362;1.516,182;666,992;600,857;258,731;62,838;1.090,999;256,000;5,185;23,169;313,182;0,665;25,000;5,000;75,000;44,000;68,000;44,000;25,000;1,891;0,000;28,904;5,083;-5,791;27,492;9,705;2,978;2,108;0,710;0,138;3,695;16,423;20,450;6,162;0,000;0,203;0,448;0,013;0,000;96,946;208,717;7,519;0,000
COPA DEL REI;1A PART;10/29/2025;forward;1;Paredes;47,088;43,867;0,000;;;;;;;;5.052,664;107,302;1.892,668;1.523,558;769,974;623,675;221,185;15,895;1.076,208;266,000;5,557;22,855;235,980;0,538;18,000;2,000;103,000;28,000;78,000;39,000;18,000;2,652;0,000;26,395;4,939;-5,373;27,855;9,678;3,458;2,227;0,612;0,037;0,880;3,312;22,178;20,473;0,000;0,012;0,387;0,140;0,000;6,564;170,072;59,345;0,000
COPA DEL REI;1A PART;10/29/2025;defender;1;Campeny;47,088;43,812;0,000;;;;;;;;5.124,381;108,825;1.873,660;1.586,162;712,541;672,750;226,972;23,980;1.143,449;267,000;5,717;24,283;232,472;0,557;17,000;3,000;103,000;29,000;82,000;36,000;17,000;2,640;0,000;26,691;4,350;-6,474;27,552;10,000;3,190;2,383;0,632;0,055;6,623;25,657;10,080;4,728;0,085;0,472;0,000;0,000;38,013;194,460;0,000;0,000;0,000
COPA DEL REI;1A PART;10/29/2025;forward;1;Andrews;47,088;45,165;0,000;;;;;;;;5.032,791;106,880;2.007,345;1.342,348;682,990;657,988;286,121;48,780;1.166,277;270,000;5,467;24,768;331,597;0,778;24,000;4,000;92,000;33,000;82,000;39,000;24,000;1,825;0,000;29,391;4,054;-6,398;30,233;8,640;3,057;2,338;0,787;0,110;0,930;4,473;24,202;17,298;0,000;0,037;0,612;0,130;0,000;8,858;267,421;55,318;0,000
COPA DEL REI;1A PART;10/29/2025;midfield;1;Izan;47,088;41,947;0,000;;;;;;;;5.553,365;117,936;1.765,812;1.550,911;973,008;743,281;274,279;49,068;1.062,885;211,000;4,687;22,572;323,347;0,698;20,000;2,000;69,000;22,000;67,000;33,000;20,000;2,215;0,000;31,356;4,421;-6,543;24,920;9,420;4,207;2,567;0,733;0,100;2,893;15,788;23,268;3,390;0,025;0,343;0,330;0,000;10,458;153,526;159,362;0,000;0,000
COPA DEL REI;1A PART;10/29/2025;defender;1;Guillem;47,088;42,015;0,000;;;;;;;;4.949,938;105,121;1.725,847;1.431,559;748,961;608,316;379,551;37,133;1.191,514;253,000;5,950;25,304;416,685;1,028;24,000;2,000;86,000;20,000;93,000;30,000;24,000;1,734;0,000;28,012;5,246;-5,763;26,195;9,192;3,350;2,155;1,040;0,083;2,743;18,513;19,583;5,727;0,015;0,388;0,443;0,182;8,510;167,835;168,895;71,445;0,000
COPA DEL REI;1A PART;10/29/2025;midfield;25;Meshak;47,088;44,498;0,000;;;;;;;;5.750,538;122,123;1.760,257;1.629,373;1.101,970;943,348;257,070;58,514;1.333,983;309,000;6,345;28,330;315,028;0,690;29,000;2,000;115,000;20,000;113,000;32,000;29,000;1,549;0,000;30,364;4,398;-5,668;25,087;10,268;4,938;3,355;0,723;0,127;1,995;14,795;25,170;5,128;0,025;0,122;0,537;0,007;10,643;52,562;246,693;5,131;0,000
COPA DEL REI;1A PART;10/29/2025;defender/LTI;27;Joan Puig;47,088;44,895;0,000;;;;;;;;5.564,037;118,162;1.884,034;1.498,605;852,288;749,296;434,754;93,094;1.599,645;330,000;7,307;33,971;527,848;1,197;38,000;7,000;120,000;28,000;112,000;32,000;38,000;1,201;0,000;31,585;4,387;-5,763;27,550;9,520;3,788;2,647;1,188;0,202;8,040;21,778;13,108;4,052;0,092;0,522;0,347;0,237;41,430;235,427;150,917;100,074;0,000
COPA DEL REI;1A PART;10/29/2025;midfield;29;Vacas;47,088;43,892;0,000;;;;;;;;5.194,936;110,324;1.906,314;1.487,585;807,169;712,890;257,798;5,027;1.192,016;290,000;6,045;25,315;255,540;0,592;23,000;0,000;103,000;30,000;94,000;40,000;23,000;1,916;0,000;25,243;4,441;-6,068;27,572;9,453;3,610;2,523;0,722;0,012;1,008;4,538;23,598;17,530;0,000;0,045;0,433;0,113;0,000;19,163;181,833;54,544;0,000
COPA DEL REI;1A PART;10/29/2025;;;;47,088;43,691;0,000;;;;;;;;5.240,255;111,286;1.846,255;1.507,365;812,877;701,378;288,495;43,814;1.206,331;272,444;5,806;25,619;327,964;0,749;24,222;3,000;96,222;28,222;87,667;36,111;24,222;1,958;0,000;28,660;4,591;-5,982;27,162;9,542;3,620;2,478;0,794;0,096;3,201;13,920;20,182;9,388;0,027;0,238;0,393;0,091;12,117;103,927;172,657;39,264;0,000
COPA DEL REI;2A PART;10/29/2025;defender/LTI;1;Cespedes;51,103;45,205;0,000;;;;;;;;5.585,557;109,300;1.799,222;1.603,782;836,593;733,015;491,893;90,550;1.416,539;243,000;6,215;27,719;576,318;1,417;35,000;6,000;84,000;26,000;59,000;39,000;35,000;1,414;0,000;30,384;6,096;-8,749;27,130;10,193;3,738;2,587;1,358;0,198;7,485;17,238;18,225;5,155;0,112;0,827;0,405;0,058;53,227;328,432;164,265;22,431;0,000
COPA DEL REI;2A PART;10/29/2025;defender;1;Campeny;51,103;46,720;0,000;;;;;;;;5.615,933;109,894;1.924,331;1.773,055;835,132;724,441;268,601;65,419;1.237,829;287,000;5,877;24,222;331,237;0,728;24,000;4,000;95,000;37,000;96,000;35,000;24,000;1,884;0,000;29,659;5,311;-7,829;28,457;11,047;3,755;2,580;0,737;0,145;2,182;9,772;27,277;11,873;0,000;0,125;0,535;0,068;0,000;56,865;241,684;32,688;0,000
COPA DEL REI;2A PART;10/29/2025;midfield;1;Adnane;51,103;47,982;0,000;;;;;;;;6.843,504;133,916;2.029,730;2.172,190;1.159,709;737,453;344,136;84,187;1.231,289;235,000;5,047;24,094;417,269;0,923;27,000;4,000;72,000;22,000;71,000;43,000;27,000;1,802;0,000;30,823;4,253;-7,777;26,313;13,067;4,995;2,517;0,915;0,175;8,007;27,533;13,665;1,202;0,102;0,465;0,357;0,000;44,634;220,523;152,112;0,000;0,000
COPA DEL REI;2A PART;10/29/2025;midfield;1;Izan;17,588;15,623;0,000;;;;;;;;2.080,499;118,292;642,926;534,322;354,043;318,969;182,413;30,920;505,397;101,000;2,132;28,735;210,506;0,523;15,000;2,000;31,000;11,000;33,000;11,000;15,000;0,802;0,000;28,369;4,549;-4,767;9,017;3,333;1,570;1,128;0,507;0,068;1,043;7,403;7,102;0,957;0,000;0,490;0,033;0,000;0,000;195,119;15,388;0,000;0,000
COPA DEL REI;2A PART;10/29/2025;defender;1;Guillem;51,103;46,702;0,000;;;;;;;;5.920,782;115,860;1.757,586;1.942,283;1.044,513;804,113;330,404;15,210;1.187,243;258,000;5,592;23,232;334,472;0,822;23,000;1,000;104,000;18,000;71,000;42,000;23,000;2,098;0,000;26,397;4,737;-4,988;25,945;12,300;4,662;2,848;0,912;0,035;7,105;21,478;19,248;3,272;0,063;0,423;0,330;0,005;27,203;185,107;119,923;2,239;0,000
COPA DEL REI;2A PART;10/29/2025;forward;1;Canito;36,739;32,533;0,000;;;;;;;;3.634,598;98,931;1.538,233;888,994;459,782;400,884;312,711;33,927;886,035;171,000;3,912;24,117;344,922;0,845;24,000;5,000;46,000;20,000;50,000;31,000;24,000;1,195;0,000;26,663;4,830;-7,030;22,457;5,647;2,070;1,422;0,860;0,078;11,395;17,848;4,652;0,918;0,313;0,197;0,335;0,000;133,611;84,985;126,326;0,000;0,000
COPA DEL REI;2A PART;10/29/2025;defender;4;Cano;29,428;24,380;0,000;;;;;;;;2.926,340;99,440;1.175,857;764,616;422,380;364,666;168,118;30,478;550,018;116,000;2,522;18,690;197,485;0,462;13,000;1,000;35,000;13,000;36,000;19,000;13,000;1,837;0,000;29,482;4,784;-5,698;15,865;4,790;1,893;1,298;0,468;0,065;1,793;3,835;13,005;6,787;0,012;0,092;0,148;0,198;6,369;40,252;63,985;80,722;0,000
COPA DEL REI;2A PART;10/29/2025;midfield;25;Meshak;51,103;48,487;0,000;;;;;;;;6.223,124;121,776;2.079,048;1.619,792;1.117,496;931,711;397,519;77,547;1.379,396;279,000;5,997;26,992;461,260;1,105;33,000;5,000;91,000;38,000;82,000;35,000;33,000;1,493;0,000;29,582;4,912;-6,270;28,705;10,177;5,018;3,297;1,115;0,175;2,325;21,782;21,482;5,515;0,010;0,438;0,635;0,022;7,849;188,465;258,244;6,702;0,000
COPA DEL REI;2A PART;10/29/2025;defender/LTI;27;Joan Puig;24,685;23,205;0,000;;;;;;;;3.033,316;122,882;1.016,879;696,392;474,768;441,723;255,566;113,845;855,927;146,000;3,395;34,674;364,965;0,845;23,000;6,000;50,000;14,000;45,000;14,000;23,000;0,955;0,000;29,125;4,874;-7,807;14,290;4,318;2,102;1,538;0,707;0,250;0,493;4,987;13,253;5,100;0,000;0,440;0,332;0,073;0,000;196,289;134,932;33,745;0,000
COPA DEL REI;2A PART;10/29/2025;forward;28;Khalid;51,103;46,782;0,000;;;;;;;;5.398,259;105,635;1.911,558;1.602,552;732,839;695,949;373,865;43,898;1.346,032;312,000;6,480;26,340;412,694;0,963;31,000;3,000;98,000;35,000;96,000;52,000;31,000;1,574;0,000;27,083;4,939;-6,229;29,727;10,212;3,260;2,450;1,033;0,100;21,130;23,768;5,428;0,700;0,080;0,622;0,202;0,060;44,186;253,441;88,078;26,989;0,000
