session;task;date;position;dorsal;player;time;active_time;effective_time;rpe;sleep;sleeping_hours;fatigue;pain;mood;stress;total_distance;minute_distance;distance_vrange1;distance_vrange2;distance_vrange3;distance_vrange4;distance_vrange5;distance_vrange6;hmld;hmld_count;hmld_time;hmld_relative;hsr;hsr_time;num_hsr;sprints;num_acc;num_acc_expl;num_dec;num_dec_expl;num_hids;hid_intervals;average_speed;max_speed;max_acc;max_dec;time_vrange1;time_vrange2;time_vrange3;time_vrange4;time_vrange5;time_vrange6;zone1_time;zone2_time;zone3_time;zone4_time;zone1_hsr_time;zone2_hsr_time;zone3_hsr_time;zone4_hsr_time;zone1_hsr_distance;zone2_hsr_distance;zone3_hsr_distance;zone4_hsr_distance;player_load
J6;1A PART;10/4/2025;forward;1;Mahicas;50,951;43,387;0,000;;;;;;;;5.369,013;105,375;1.925,720;1.472,525;581,330;567,283;329,425;128,632;1.305,227;268,000;5,715;25,617;458,057;0,962;28,000;6,000;77,000;45,000;78,000;40,000;28,000;1,715;0,000;31,222;5,520;-5,556;29,017;8,942;2,445;1,875;0,852;0,257;2,905;8,630;19,743;17,905;0,000;0,202;0,598;0,162;0,000;91,868;284,103;82,085;0,000
J6;1A PART;10/4/2025;defender;1;Campeny;50,951;43,608;0,000;;;;;;;;5.684,736;111,572;2.174,569;1.127,977;570,643;595,148;351,433;23,852;1.221,398;288,000;5,755;23,972;375,285;0,800;17,000;2,000;100,000;31,000;99,000;41,000;17,000;2,730;0,000;26,588;5,196;-5,778;32,247;6,402;2,223;1,838;0,850;0,048;6,888;15,155;7,432;4,953;0,165;0,207;0,248;0,117;71,101;102,147;118,058;51,793;0,000
J6;1A PART;10/4/2025;forward;1;Andrews;50,951;45,815;0,000;;;;;;;;5.356,546;105,130;2.129,507;1.209,361;586,700;527,292;405,578;196,129;1.494,374;262,000;6,022;29,329;599,350;1,248;38,000;10,000;71,000;35,000;73,000;45,000;38,000;1,257;0,000;32,560;4,830;-6,502;32,752;7,340;2,495;1,775;1,053;0,400;1,710;12,660;19,933;11,838;0,022;0,430;0,382;0,197;10,500;209,831;180,959;91,564;0,000
J6;1A PART;10/4/2025;midfield;1;Adnane;50,951;46,045;0,000;;;;;;;;5.781,538;113,471;1.995,614;1.631,460;955,535;809,200;284,654;34,489;1.125,724;256,000;4,867;22,094;311,865;0,700;30,000;4,000;77,000;33,000;77,000;39,000;30,000;1,481;0,000;28,745;4,567;-6,972;27,930;10,155;4,250;2,843;0,790;0,077;3,983;14,697;19,542;8,763;0,008;0,317;0,305;0,063;3,496;134,351;143,097;26,943;0,000
J6;1A PART;10/4/2025;midfield;1;Izan;50,951;45,042;0,000;;;;;;;;5.425,208;106,478;1.927,903;1.413,448;872,453;695,521;338,949;47,279;1.154,762;247,000;5,183;22,664;381,110;0,898;24,000;5,000;88,000;26,000;75,000;34,000;24,000;2,046;0,000;26,676;5,052;-4,833;29,015;8,747;3,822;2,433;0,918;0,107;6,355;23,623;16,537;2,745;0,045;0,445;0,408;0,000;21,146;195,186;164,778;0,000;0,000
J6;1A PART;10/4/2025;defender;1;Escoruela;50,951;43,947;0,000;;;;;;;;5.143,224;100,944;2.019,922;1.352,110;692,654;526,855;308,018;118,821;1.291,597;264,000;5,940;25,350;420,083;0,942;23,000;4,000;86,000;32,000;83,000;40,000;23,000;2,107;0,000;31,759;4,870;-7,645;29,533;8,463;3,053;1,825;0,822;0,250;8,792;19,748;11,063;4,015;0,105;0,342;0,163;0,332;46,993;157,402;71,147;144,541;0,000
J6;1A PART;10/4/2025;forward;1;Canito;50,951;43,752;0,000;;;;;;;;5.145,139;100,981;2.153,859;898,296;572,776;639,900;565,304;179,965;1.706,067;263,000;6,430;33,484;732,664;1,648;46,000;10,000;54,000;55,000;61,000;47,000;46,000;1,001;0,000;32,119;5,064;-5,762;31,593;5,558;2,507;2,188;1,528;0,377;3,362;9,462;20,435;13,468;0,240;0,273;0,955;0,122;109,674;114,184;425,044;56,563;0,000
J6;1A PART;10/4/2025;defender;4;Cano;50,951;44,892;0,000;;;;;;;;6.302,213;123,691;2.439,363;1.474,784;766,628;566,874;225,335;20,100;984,678;253,000;4,972;19,326;242,948;0,552;18,000;1,000;91,000;27,000;84,000;33,000;18,000;2,854;0,000;27,667;4,328;-5,269;31,113;8,327;3,055;1,788;0,568;0,040;13,297;24,905;7,170;3,957;0,107;0,210;0,063;0,165;50,852;93,850;23,251;70,503;0,000
J6;1A PART;10/4/2025;midfield;25;Meshak;50,951;45,202;0,000;;;;;;;;5.482,790;107,608;1.872,902;1.267,348;881,777;910,806;406,872;55,633;1.459,801;297,000;6,375;28,651;453,479;1,110;30,000;4,000;109,000;29,000;90,000;39,000;30,000;1,533;0,000;29,715;4,422;-5,126;29,013;7,872;3,870;3,195;1,130;0,122;5,888;21,913;17,625;3,477;0,105;0,468;0,537;0,000;48,676;200,085;204,718;0,000;0,000
J6;1A PART;10/4/2025;defender/LTI;27;Joan Puig;50,951;46,685;0,000;;;;;;;;5.315,569;104,326;2.046,702;1.298,496;725,846;796,214;270,367;82,011;1.296,738;294,000;5,987;25,450;342,211;0,775;25,000;3,000;102,000;37,000;88,000;42,000;25,000;1,889;0,000;28,841;4,739;-5,105;31,627;8,138;3,207;2,785;0,750;0,178;13,825;24,978;6,550;3,430;0,132;0,370;0,115;0,158;64,143;153,903;48,777;75,387;0,000
