session;task;date;position;dorsal;player;time;active_time;effective_time;rpe;sleep;sleeping_hours;fatigue;pain;mood;stress;total_distance;minute_distance;distance_vrange1;distance_vrange2;distance_vrange3;distance_vrange4;distance_vrange5;distance_vrange6;hmld;hmld_count;hmld_time;hmld_relative;hsr;hsr_time;num_hsr;sprints;num_acc;num_acc_expl;num_dec;num_dec_expl;num_hids;hid_intervals;average_speed;max_speed;max_acc;max_dec;time_vrange1;time_vrange2;time_vrange3;time_vrange4;time_vrange5;time_vrange6;zone1_time;zone2_time;zone3_time;zone4_time;zone1_hsr_time;zone2_hsr_time;zone3_hsr_time;zone4_hsr_time;zone1_hsr_distance;zone2_hsr_distance;zone3_hsr_distance;zone4_hsr_distance;player_load
Partit amistos;Periodo 1;8/23/2025;forward;1;Mahicas;51,752;44,505;0,000;;;;;;;;5.180,028;100,093;1.898,807;1.633,516;641,668;539,291;322,259;78,353;1.266,587;284,000;6,043;24,474;394,317;0,858;30,000;3,000;91,000;42,000;80,000;41,000;30,000;1,573;0,000;32,161;5,098;-6,440;28,318;10,393;2,857;1,888;0,887;0,162;10,980;16,787;21,158;1,887;0,078;0,438;0,238;0,103;34,027;204,492;104,393;51,405;0,000
Partit amistos;Periodo 1;8/23/2025;defender;1;Sgro;51,752;45,893;0,000;;;;;;;;4.944,437;95,541;2.253,878;1.392,046;554,686;459,548;194,965;71,961;837,808;158,000;3,685;16,189;261,811;0,575;16,000;5,000;64,000;16,000;48,000;14,000;16,000;3,097;0,000;30,375;4,538;-6,379;32,115;8,950;2,495;1,643;0,532;0,158;2,685;6,707;25,655;15,497;0,000;0,097;0,370;0,108;0,000;45,549;168,667;47,595;0,000
Partit amistos;Periodo 1;8/23/2025;defender;1;Guillem;29,976;27,847;0,000;;;;;;;;3.629,663;121,086;1.010,377;1.257,124;566,594;435,997;291,743;65,338;1.011,930;219,000;4,737;33,758;357,080;0,853;24,000;4,000;70,000;18,000;71,000;36,000;24,000;1,227;0,000;28,663;3,849;-6,068;14,782;8,020;2,555;1,545;0,798;0,147;2,727;4,125;12,732;9,025;0,057;0,273;0,432;0,092;24,810;108,118;187,523;36,629;0,000
Partit amistos;Periodo 1;8/23/2025;defender;1;Escoruela;51,752;45,378;0,000;;;;;;;;5.518,203;106,627;2.052,139;1.700,575;676,670;588,386;368,450;88,451;1.245,274;253,000;5,553;24,062;456,900;1,042;26,000;7,000;78,000;32,000;69,000;48,000;26,000;1,831;0,000;29,406;5,803;-7,062;28,342;10,723;3,035;2,082;0,998;0,198;3,422;9,325;21,980;12,738;0,055;0,510;0,365;0,112;25,103;219,867;160,745;51,186;0,000
Partit amistos;Periodo 1;8/23/2025;midfield;25;Meshak;51,752;45,327;0,000;;;;;;;;5.853,757;113,111;1.872,118;1.646,535;1.044,040;896,434;329,802;58,206;1.294,775;279,000;5,980;25,019;385,771;0,902;27,000;4,000;98,000;26,000;97,000;31,000;27,000;1,762;0,000;28,805;5,207;-6,954;26,048;10,367;4,680;3,193;0,908;0,130;2,282;14,142;26,438;7,887;0,008;0,395;0,268;0,230;4,106;165,971;115,554;100,140;0,000
Partit amistos;Periodo 1;8/23/2025;;;;47,397;41,790;0,000;;;;;;;;5.025,218;107,292;1.817,464;1.525,959;696,732;583,931;301,444;72,462;1.131,275;238,600;5,200;24,700;371,176;0,846;24,600;4,600;80,200;26,800;73,000;34,000;24,600;1,898;0,000;29,882;4,899;-6,581;25,921;9,691;3,124;2,070;0,825;0,159;4,419;10,217;21,593;9,407;0,040;0,343;0,335;0,129;17,609;148,799;147,376;57,391;0,000
Partit amistos;Periodo 3;8/23/2025;forward;1;Mahicas;50,016;41,883;0,000;;;;;;;;5.131,237;102,591;1.699,040;1.438,529;746,902;592,929;427,157;140,477;1.460,519;269,000;6,428;29,201;567,069;1,308;34,000;10,000;89,000;37,000;80,000;29,000;34,000;1,410;0,000;29,947;5,123;-5,234;26,038;9,000;3,292;2,087;1,158;0,308;5,100;10,305;20,338;13,978;0,080;0,313;0,485;0,430;34,415;134,450;213,634;184,570;0,000
Partit amistos;Periodo 3;8/23/2025;defender;1;Sgro;50,016;45,003;0,000;;;;;;;;4.725,046;94,470;2.211,829;1.236,902;509,835;389,614;272,175;65,328;872,008;149,000;3,688;17,434;337,503;0,780;21,000;7,000;55,000;17,000;45,000;11,000;21,000;2,330;0,000;28,382;4,997;-6,220;32,628;7,827;2,292;1,377;0,733;0,147;14,788;19,275;13,298;2,643;0,168;0,325;0,248;0,038;75,223;147,326;99,810;15,144;0,000
Partit amistos;Periodo 3;8/23/2025;defender;1;Guillem;50,016;44,155;0,000;;;;;;;;5.392,915;107,823;1.881,479;1.555,783;780,176;744,022;309,366;61,962;1.171,553;262,000;5,293;23,423;364,580;0,867;27,000;3,000;90,000;25,000;84,000;36,000;27,000;1,790;0,000;29,031;5,393;-5,169;27,202;9,887;3,472;2,603;0,857;0,135;11,083;17,188;15,383;5,617;0,182;0,417;0,165;0,103;68,353;174,194;75,466;46,566;0,000
Partit amistos;Periodo 3;8/23/2025;defender;1;Escoruela;50,016;37,930;0,000;;;;;;;;4.434,642;88,664;1.777,226;1.436,176;447,956;329,391;285,255;57,349;964,569;190,000;4,398;19,285;342,604;0,793;21,000;3,000;57,000;23,000;53,000;36,000;21,000;1,820;0,000;31,094;4,743;-8,550;24,982;8,918;2,003;1,135;0,770;0,122;8,817;15,135;11,087;3,692;0,100;0,200;0,457;0,037;44,030;85,691;197,759;15,123;0,000
